ACTB|47751.361236462704
GAPDH|46422.253750286654
HSP90AA1|37880.68609153256
HSP90AB1|32392.98753101949
CALM3|26727.372734464298
YWHAZ|21649.330118154478
HSPA5|18759.83078677518
H3-3B|18365.596296003943
APP|17346.839421669127
SRSF1|15413.329157245713
RAC1|14967.246550550977
SNCA|14770.466036216656
CLTC|14160.616612462114
NFKB1|14056.043384843113
PRKN|13752.182483797158
DLG4|13734.291394184233
COX4I1|13711.62876939804
FOS|13670.743738546274
SOD2|13512.763654349801
RASA1|13439.700436977571
HNRNPA2B1|13409.169199553715
SUMO2|13248.784810409155
ANK3|13215.256795785841
SKP1|13211.542902941437
NCL|12784.435364195311
HNRNPA1|12783.06653369107
CALM1|12759.155116918526
NPM1|12624.801910025168
FUS|12507.022766986714
APOE|12441.87617814123
KDM6A|12402.96944594251
YWHAB|12338.82925940279
ENO2|12215.419174892642
TUBB|12202.766559169288
AGO2|12117.390021530086
PPIA|12022.751422175688
ACTG1|12010.823631425554
PGK1|11975.926796583919
HNRNPK|11675.273946925925
BRAF|11394.955875243171
NF1|11243.143353887932
YWHAG|11194.880737220203
GFAP|11056.8354669695
CALM2|10911.737560602689
RBM39|10659.717616448723
HNRNPU|10474.539659089016
EEF1A1|10263.849463704635
CAMK2A|10164.208022429988
HSP90B1|10033.460352569704
CFL1|9803.38697992519
ERBB4|9701.078612250823
DISC1|9666.848184017643
BCL2|9620.85109453198
DDX17|9485.280182096632
ARRB1|9388.254494142637
LYN|9375.022528706942
HNRNPH1|9315.8325005824
CANX|9167.493980010413
PEBP1|8791.658201367467
TUBA1A|8781.001450976073
ARF1|8611.475103139497
NEDD8|8567.401775053113
HSPE1|8468.752171035781
SYK|8376.406712175705
KIT|8263.152169309791
CTBP2|8060.970053423793
MT-ATP6|7840.374346316851
PDGFRA|7753.711308273934
SMAD2|7272.93180834329
MSN|7175.715131065932
FOXO3|7121.931074496761
SNAP25|7004.595703264572
PCBP2|7003.544525615668
NEDD4L|6888.197329816878
CACNA1C|6878.200030816229
FTL|6487.075076948086
ADGRB1|6479.626696684117
MT-ND1|6464.584662426074
RHOB|6367.211210615352
GNAQ|6354.045315393095
VAMP2|6306.826588961268
MT-CO1|6234.971041181147
DYNC1H1|6160.088917384476
TGFBR2|6148.199383434612
PRKCA|6145.105131119098
GNAS|6117.551489309161
YWHAH|6059.920123886615
EIF4A2|6018.1617213935015
DCTN1|5944.532597412908
GDI1|5887.9883289659265
WWOX|5844.258470247528
FTO|5819.056088519337
RBFOX1|5771.773652838958
MT-ND4|5722.156424688008
ERBIN|5693.7774152739985
ATXN1|5675.158065227736
AKT3|5669.686244793408
LGALS3|5634.127104972875
PTMA|5629.568005552521
SH3KBP1|5592.21603858174
CACNA1A|5589.85891350205
TXNRD1|5581.448285104295
STXBP1|5384.744264795336
RPS27A|5371.157305691229
PPA2|5340.199967626046
ATG7|5331.445716212503
TOMM20|5301.96767305338
JARID2|5296.153889534366
TUBA1B|5280.162089771689
PARD3|5248.963397686771
MT-CO2|5215.802020635207
COX6A1|5203.207680452988
ALK|5110.989100272083
NRG1|5110.228755095855
HNRNPA3|5088.739386908829
GPI|5057.274428637299
KCND2|5056.12068173726
EIF4G2|5048.826076732094
HDAC9|5047.900571202532
KCNQ1|4986.7569223225055
MYL6|4953.814743355469
SDHC|4945.271443297775
CDC27|4928.499550492742
GRIA2|4921.8490508886825
ROBO1|4920.402038441996
SLC1A2|4908.260334863581
CIRBP|4901.030466461434
GLUL|4884.731740937959
NDUFS5|4877.105954307268
EEF2|4824.232970764473
CNTNAP2|4816.895580371005
SPTAN1|4806.346111730752
SNRNP70|4804.162339382621
KCNQ3|4797.853849648076
UBA52|4772.5344536484245
WWP1|4767.357223102108
SCN2A|4767.171933684916
FTH1|4755.319876393633
CDK6|4746.403445848983
PUM2|4734.188761506805
MT-CYB|4719.658464194021
CNBP|4701.12895290916
TIA1|4698.389910887302
KIF5B|4682.108044992976
MAP1B|4650.265144716349
SOS1|4644.574440827703
HLA-DRA|4628.032356371275
PICALM|4608.616003979558
CEBPD|4579.950863871188
PTPRG|4505.5301972125435
GRIN1|4477.305679113015
GABARAPL1|4468.797281547846
CTSD|4434.77307109856
HNRNPDL|4419.94936290474
PLCB1|4374.337346068833
PRKCB|4314.571879005091
CTNNA2|4302.016995066281
CLU|4288.907729095432
SYN1|4278.1744393022045
SPTBN1|4273.934588849696
MORF4L1|4247.642476855657
RTTN|4240.052245515586
RPS6KA3|4210.3277498156385
PTPRD|4194.9884846568375
SFPQ|4185.182845369605
PPP3CA|4182.436713402522
TUBB2A|4176.902991064339
ARID1A|4154.983916188566
MATR3|4134.17960542195
NAA10|4110.453285371966
CD81|4105.753979216602
EXOC4|4081.6444264157453
ELMO1|4035.92362813945
PRKD1|4001.8852384934444
GAD1|3990.82551309422
RAP1A|3966.0942193986502
GPX4|3961.0196858177146
ADK|3955.0916288276753
EWSR1|3913.0035066632963
MBP|3901.782387130554
CD86|3901.2470861704487
TIAM1|3880.398541767873
NAMPT|3878.2081441080973
PABPN1|3797.3839139168554
CLIP3|3780.1773269015443
GRID2|3777.3528064463485
ALDOA|3706.756444521946
GAS7|3676.105944787391
KCNQ5|3663.6861528196396
DLG2|3648.568493388554
TAB2|3627.790652996908
SYT1|3616.459474787943
MAP3K5|3584.4129483191196
STMN1|3579.011967709064
ARHGDIA|3575.1159572119263
LY96|3565.6155827207
GAP43|3555.800341419
ADGRB3|3553.978782482683
BTF3|3544.970958110665
ZFP36|3475.45737006317
MT-ND3|3450.177661337592
